name,productId,console,pc,cloud,category,storePath,newSinceDate
Assassin's Creed Syndicate,BXVQ8M4J9HNM,true,false,true,Ubisoft+ Classics,-/BXVQ8M4J9HNM,
Assassin’s Creed Syndicate,9PHPDGTRVGGL,false,true,false,Ubisoft+ Classics,-/9PHPDGTRVGGL,
Assassin's Creed Unity,BRQH27C9RGXS,true,true,true,Ubisoft+ Classics,-/BRQH27C9RGXS,
Assassin's Creed® Chronicles: China,BZQQ7HX8PZ05,true,false,true,Ubisoft+ Classics,-/BZQQ7HX8PZ05,
Assassin's Creed® Chronicles: India,BTMS1PXLQ6P6,true,false,true,Ubisoft+ Classics,-/BTMS1PXLQ6P6,
Assassin's Creed® Chronicles: Russia,BXQQQQ8HRBSF,true,false,true,Ubisoft+ Classics,-/BXQQQQ8HRBSF,
Assassin's Creed® III Remastered,BPMJ413V6BB2,true,true,true,Ubisoft+ Classics,-/BPMJ413V6BB2,
Assassin’s Creed® Mirage,9NZCJF5VF1NV,true,true,true,Ubisoft+ Classics,-/9NZCJF5VF1NV,
Assassin’s Creed® Rogue Remastered,BWT5L9P3L60X,true,false,true,Ubisoft+ Classics,-/BWT5L9P3L60X,
Assassin's Creed® The Ezio Collection,BQ9S8ZKCT3Q7,true,false,true,Ubisoft+ Classics,-/BQ9S8ZKCT3Q7,
Avatar: Frontiers of Pandora,9N21G14CVS5L,false,true,false,Ubisoft+ Classics,-/9N21G14CVS5L,
Avatar: Frontiers of Pandora™,9N9QJG4S82B5,true,false,true,Ubisoft+ Classics,-/9N9QJG4S82B5,
Battlefield 3 Premium Edition,9N8D2CG0K9LL,false,true,false,EA Play,-/9N8D2CG0K9LL,
Battlefield 3™,BRN6BHDHB58J,true,false,false,EA Play,-/BRN6BHDHB58J,
Battlefield 4,BP15SF17LH13,true,false,true,EA Play,-/BP15SF17LH13,
Battlefield 4™ Premium Edition,9NPSWGMTPRVW,false,true,false,EA Play,-/9NPSWGMTPRVW,
Battlefield™ 1 Revolution,BPL68T0XK96W,true,true,true,EA Play,-/BPL68T0XK96W,
Battlefield™ 2042,9N8C8L9MVQ89,false,true,false,EA Play,-/9N8C8L9MVQ89,
Battlefield™ 2042 Xbox One,9PD5BFNZ4V7K,true,false,false,EA Play,-/9PD5BFNZ4V7K,
Battlefield™ 2042 Xbox Series X|S,9P0T51BDDWVT,true,false,true,EA Play,-/9P0T51BDDWVT,
Battlefield™ Hardline,BZKZFMQG2K2K,true,false,false,EA Play,-/BZKZFMQG2K2K,
Battlefield™ Hardline Ultimate Edition,9N40901WDQJD,false,true,false,EA Play,-/9N40901WDQJD,
Battlefield™ V,BZ2N7TQ0XCF2,true,false,true,EA Play,-/BZ2N7TQ0XCF2,
Battlefield™ V Year 2 Edition,9PDH3TB5548T,false,true,false,EA Play,-/9PDH3TB5548T,
Beast of Reincarnation,9NXWSWBM4H6T,true,true,true,Ultimate Exclusive,-/9NXWSWBM4H6T,2026-08-04
Beastro,9NJRSC0B0K88,true,true,true,Ultimate Exclusive,-/9NJRSC0B0K88,
Beatdown City Survivors,9N4X39HZ1CSQ,true,true,true,Ultimate Exclusive,-/9N4X39HZ1CSQ,
Bejeweled 2,BTXM0C9C3B1S,true,false,false,EA Play,-/BTXM0C9C3B1S,
Bejeweled 3,BR7QJW8V9L2S,true,false,false,EA Play,-/BR7QJW8V9L2S,
Black Jacket,9NTXGKBW2HSM,true,true,true,Ultimate Exclusive,-/9NTXGKBW2HSM,
BLACK™,BTCS0LP052HL,true,false,false,EA Play,-/BTCS0LP052HL,
Burnout™ Paradise Remastered,BQMQ3K1BLV1T,true,true,false,EA Play,-/BQMQ3K1BLV1T,
Call of Duty®: Black Ops 6 - Cross-Gen Bundle,9N1N0NQNGK9W,true,false,true,Ultimate Exclusive,-/9N1N0NQNGK9W,
Call of Duty®: Black Ops 6 - Standard Edition (Windows),9MZ1RZTJTZKB,false,true,false,Ultimate Exclusive,-/9MZ1RZTJTZKB,
Call of Duty®: Black Ops 7 - Cross-Gen Bundle,9N8KMNW6942X,true,true,true,Ultimate Exclusive,-/9N8KMNW6942X,
Call of the Elder Gods,9PF697TG7PP7,true,true,true,Ultimate Exclusive,-/9PF697TG7PP7,
Child of Light,BQ9Q620NC614,true,true,true,Ubisoft+ Classics,-/BQ9Q620NC614,
Command & Conquer™ Remastered Collection,9N0LFRXLDJHZ,false,true,false,EA Play,-/9N0LFRXLDJHZ,
Corsair Cove,9PHS0189K408,false,true,false,Ultimate Exclusive,-/9PHS0189K408,2026-08-01
Crashout Crew,9NJJVQZ3BVPX,true,true,true,Ultimate Exclusive,-/9NJJVQZ3BVPX,
Crysis,BNN7BPDZ6GQB,true,false,false,EA Play,-/BNN7BPDZ6GQB,
Crysis 2,BQBTGDT4P54J,true,false,false,EA Play,-/BQBTGDT4P54J,
Crysis 3,9PNRHXZ6ZSS9,false,true,false,EA Play,-/9PNRHXZ6ZSS9,
Crysis®,9NB993S1TWSH,false,true,false,EA Play,-/9NB993S1TWSH,
Crysis® 2 Maximum Edition,9P1D3TD1KHLR,false,true,false,EA Play,-/9P1D3TD1KHLR,
Crysis® 3,BNKKJL1VRR5P,true,false,false,EA Play,-/BNKKJL1VRR5P,
Dante's Inferno™,C0X6N5963CTW,true,false,false,EA Play,-/C0X6N5963CTW,
Dead Space,9NLB6V0GNC9P,true,true,true,EA Play,-/9NLB6V0GNC9P,
Dead Space - 2008,9NZ1BL9SMVG4,false,true,false,EA Play,-/9NZ1BL9SMVG4,
Dead Space (2008),BRJLJ6RPLQTJ,true,false,true,EA Play,-/BRJLJ6RPLQTJ,
Dead Space 2,9NZ90QLG3H0V,false,true,false,EA Play,-/9NZ90QLG3H0V,
Dead Space 3,9MTD9ZS1G3CC,false,true,false,EA Play,-/9MTD9ZS1G3CC,
Dead Space™ 2,C2PB7STLJGS0,true,false,true,EA Play,-/C2PB7STLJGS0,
Dead Space™ 3,BP73LMGB1DFD,true,false,true,EA Play,-/BP73LMGB1DFD,
Dead Space™ Ignition,C4GQQJJSZSZJ,true,false,false,EA Play,-/C4GQQJJSZSZJ,
Denshattack!,9N18L56XHK8Z,true,true,true,Ultimate Exclusive,-/9N18L56XHK8Z,
Dice A Million,9N3NTDPJCD9Z,false,true,false,Ultimate Exclusive,-/9N3NTDPJCD9Z,
DIRT 5,9PJGM0T0827V,true,true,false,EA Play,-/9PJGM0T0827V,
DiRT Rally 2.0,BRPGP6H8P26F,true,false,false,EA Play,-/BRPGP6H8P26F,
Dragon Age: Origins,BS9SX4Q6XJRF,true,false,true,EA Play,-/BS9SX4Q6XJRF,
Dragon Age™ 2,C4G76555T4QN,true,false,true,EA Play,-/C4G76555T4QN,
Dragon Age™ II,9P5VB9G9CJ29,false,true,false,EA Play,-/9P5VB9G9CJ29,
Dragon Age™: Inquisition,C47GZZBMR5WG,true,false,true,EA Play,-/C47GZZBMR5WG,
Dragon Age™: Inquisition - Game of the Year Edition,9MWLS68W1P7Q,false,true,false,EA Play,-/9MWLS68W1P7Q,
Dragon Age™: Origins - Ultimate Edition,9MWQ083Z7L4F,false,true,false,EA Play,-/9MWQ083Z7L4F,
Dragon Age™: The Veilguard,BSDX4FNNC0DK,true,false,true,EA Play,-/BSDX4FNNC0DK,
Dragon Age™: The Veilguard - PC,9NHCW3R1JB1C,false,true,false,EA Play,-/9NHCW3R1JB1C,
Dungeon Keeper™,9PKDX735TR8K,false,true,false,EA Play,-/9PKDX735TR8K,
Dungeon Keeper™ 2,9NGL4GBPXM1G,false,true,false,EA Play,-/9NGL4GBPXM1G,
EA SPORTS FC™ 25 - PC,9P8RC7S4NRQ3,false,true,false,EA Play,-/9P8RC7S4NRQ3,
EA SPORTS FC™ 25 Xbox One,9N436FQM30HX,true,false,true,EA Play,-/9N436FQM30HX,
EA SPORTS FC™ 25 Xbox Series X|S,9NNPSTWT06VM,true,false,true,EA Play,-/9NNPSTWT06VM,
EA SPORTS FC™ 26 - PC,9N3XQQ1LHJ4X,false,true,false,EA Play,-/9N3XQQ1LHJ4X,
EA SPORTS FC™ 26 Xbox One,9NK13T4QFPQW,true,false,true,EA Play,-/9NK13T4QFPQW,
EA SPORTS FC™ 26 Xbox Series X|S,9P9FTXPKQ35P,true,false,true,EA Play,-/9P9FTXPKQ35P,
EA SPORTS™ College Football 25,9NSDM7MBGG8L,true,false,true,EA Play,-/9NSDM7MBGG8L,
EA SPORTS™ College Football 26,9NLKS78C4F3Z,true,false,true,EA Play,-/9NLKS78C4F3Z,
EA SPORTS™ Madden NFL 26,9NVD16NP4J8T,true,true,true,EA Play,-/9NVD16NP4J8T,
EA SPORTS™ PGA TOUR™,9P822XLW9PB8,true,true,true,EA Play,-/9P822XLW9PB8,
EA SPORTS™ WRC,9N9PDJ7Z8S2R,true,true,true,EA Play,-/9N9PDJ7Z8S2R,
Echo Generation 2,9N17PD34G54M,true,true,true,Ultimate Exclusive,-/9N17PD34G54M,
F1® 24,9PLVVTDHS1P0,true,true,true,EA Play,-/9PLVVTDHS1P0,
F1® 25,9NWPW7F19FS5,true,true,true,EA Play,-/9NWPW7F19FS5,
FAR CRY 3,9NXWKGRHT31F,false,true,false,Ubisoft+ Classics,-/9NXWKGRHT31F,
FAR CRY 3 BLOOD DRAGON,9P5Z088TJQ5S,false,true,false,Ubisoft+ Classics,-/9P5Z088TJQ5S,
Far Cry 3 Blood Dragon Classic Edition,9NVJ4L71DF5Q,true,false,true,Ubisoft+ Classics,-/9NVJ4L71DF5Q,
Far Cry 3 Classic Edition,BV2ZVP7PJZWL,true,false,true,Ubisoft+ Classics,-/BV2ZVP7PJZWL,
FAR CRY PRIMAL,BV6BRSLFJW3W,true,true,true,Ubisoft+ Classics,-/BV6BRSLFJW3W,
Fe,BZW2R4STVDNK,true,true,false,EA Play,-/BZW2R4STVDNK,
Feeding Frenzy,BRBRQCVTJG2D,true,false,false,EA Play,-/BRBRQCVTJG2D,
Feeding Frenzy 2,BQ192SFB694X,true,false,false,EA Play,-/BQ192SFB694X,
FIGHT NIGHT CHAMPION,BQG162F04T2L,true,false,false,EA Play,-/BQG162F04T2L,
Fogpiercer,9P2PP895LSBJ,false,true,false,Ultimate Exclusive,-/9P2PP895LSBJ,
Fortnite,BT5P2X999VH2,true,true,false,Ultimate Exclusive,-/BT5P2X999VH2,
Forza Horizon 6 Standard Edition,9N431PX143P8,true,true,true,Ultimate Exclusive,-/9N431PX143P8,
Frog Sqwad,9N16RZ0S50V2,true,true,true,Ultimate Exclusive,-/9N16RZ0S50V2,
GRID Legends,9NCT9L7NFHX7,true,true,true,EA Play,-/9NCT9L7NFHX7,
Halo Wars: Definitive Edition (PC),9NBLGGH5WLR0,false,true,false,Ultimate Exclusive,-/9NBLGGH5WLR0,
Halo: Campaign Evolved - Standard Edition,9N6J4RNFPKKL,true,true,true,Ultimate Exclusive,-/9N6J4RNFPKKL,2026-07-29
Heavy Weapon,BZ910SG8ML8X,true,false,false,EA Play,-/BZ910SG8ML8X,
Heroes of Might and Magic 3 - Complete Edition,9P5241RBH1SZ,false,true,false,Ultimate Exclusive,-/9P5241RBH1SZ,
Heroes of Might and Magic II - Gold Edition,9NSB55HX1GGN,false,true,false,Ultimate Exclusive,-/9NSB55HX1GGN,
Heroes of Might and Magic: Olden Era (Game Preview),9P2TFCCRKMRD,false,true,false,Ultimate Exclusive,-/9P2TFCCRKMRD,
High On Life 2,9NF6XPSBTTGB,true,true,true,Ultimate Exclusive,-/9NF6XPSBTTGB,
Hungry Shark World,9P57SQHVWND7,false,true,false,Ubisoft+ Classics,-/9P57SQHVWND7,
Hungry Shark® World,C3NHWKLR94M9,true,false,true,Ubisoft+ Classics,-/C3NHWKLR94M9,
Immortals of Aveum™,9NSD4HTWM8HT,true,true,true,EA Play,-/9NSD4HTWM8HT,
inKONBINI: One Store. Many Stories,9NVV0M74W05C,true,true,true,Ultimate Exclusive,-/9NVV0M74W05C,
It Takes Two,9NVQ4ZLJGMDV,false,true,false,EA Play,-/9NVQ4ZLJGMDV,
It Takes Two - Digital Version,9NXVC0482QS5,true,false,true,EA Play,-/9NXVC0482QS5,
Jade Empire™: Special Edition,9PJFC8RLNPH5,false,true,false,EA Play,-/9PJFC8RLNPH5,
Junkster,9NZPKBFF0CV9,true,true,true,Ultimate Exclusive,-/9NZPKBFF0CV9,
Keeper,9NCJWHHMVHR0,true,true,true,Ultimate Exclusive,-/9NCJWHHMVHR0,
Kiln,9MW53ZKZH168,true,true,true,Ultimate Exclusive,-/9MW53ZKZH168,
Lost in Random™,9NVRJS95FLM9,true,true,true,EA Play,-/9NVRJS95FLM9,
Luna Abyss,9PLBH9J0XGR8,true,true,true,Ultimate Exclusive,-/9PLBH9J0XGR8,
Madden NFL 25,9P3FG98R5X8F,false,true,false,EA Play,-/9P3FG98R5X8F,
Madden NFL 25 Xbox One,9NL9QN69HCL7,true,false,true,EA Play,-/9NL9QN69HCL7,
Madden NFL 25 Xbox Series X|S,9N0FWWQ94X62,true,false,true,EA Play,-/9N0FWWQ94X62,
MARVEL Cosmic Invasion,9N79TQTZTQQ4,true,true,true,Ultimate Exclusive,-/9N79TQTZTQQ4,
Mass Effect 2,C0Z1N477W100,true,false,false,EA Play,-/C0Z1N477W100,
Mass Effect 2 (2010 Edition),9MTP3NKHVWM6,false,true,false,EA Play,-/9MTP3NKHVWM6,
Mass Effect 3 (2012 Edition),9NQJCGMK9VVD,false,true,false,EA Play,-/9NQJCGMK9VVD,
Mass Effect™,9NVB51LMXLJF,false,true,false,EA Play,-/9NVB51LMXLJF,
Mass Effect™ 3,C040H652PD98,true,false,false,EA Play,-/C040H652PD98,
Mass Effect™ Legendary Edition,9PKWHT7G60WQ,true,true,true,EA Play,-/9PKWHT7G60WQ,
Mass Effect™: Andromeda,BZPR04V49BMH,true,false,true,EA Play,-/BZPR04V49BMH,
Mass Effect™: Andromeda Deluxe Edition,9NK4NC5LFCQ7,false,true,false,EA Play,-/9NK4NC5LFCQ7,
Medal of Honor Airborne,C43H00X6KZRJ,true,false,false,EA Play,-/C43H00X6KZRJ,
Medal of Honor Airborne™,9P28J28WGSPZ,false,true,false,EA Play,-/9P28J28WGSPZ,
Mirror's Edge,9PJPZ1DQD0WM,false,true,false,EA Play,-/9PJPZ1DQD0WM,
Mirror's Edge™,BP96WRTVD7C1,true,false,false,EA Play,-/BP96WRTVD7C1,
Mirror's Edge™ Catalyst,C48LBRJJCP2L,true,true,true,EA Play,-/C48LBRJJCP2L,
Mistfall Hunter,9P8X6TVW9ZW8,true,true,true,Ultimate Exclusive,-/9P8X6TVW9ZW8,2026-07-30
Mixtape,9NH0MSG29X6L,true,true,true,Ultimate Exclusive,-/9NH0MSG29X6L,
MONOPOLY 2024,9NVH8SJNX20S,false,true,false,Ubisoft+ Classics,-/9NVH8SJNX20S,
Monopoly Madness,9P0RGJND5SR0,true,false,true,Ubisoft+ Classics,-/9P0RGJND5SR0,
MONOPOLY Madness,9MTP0GJ0Q3MG,false,true,false,Ubisoft+ Classics,-/9MTP0GJ0Q3MG,
Moonlighter 2: The Endless Vault (Game Preview),9NDJX252Q5BW,false,true,false,Ultimate Exclusive,-/9NDJX252Q5BW,
MOTORSLICE,9P0073G9FW5Z,true,true,true,Ultimate Exclusive,-/9P0073G9FW5Z,
MySims™,9P9JZZ79KHDK,false,true,false,EA Play,-/9P9JZZ79KHDK,
MySims™ Kingdom,9NJ71RH89RJ5,false,true,false,EA Play,-/9NJ71RH89RJ5,
Need for Speed Rivals,C3VM0TMWNZ5M,true,false,false,EA Play,-/C3VM0TMWNZ5M,
Need for Speed™,BXWJNW4170RM,true,false,false,EA Play,-/BXWJNW4170RM,
Need for Speed™ Deluxe Edition,9NXLNL5JXBZJ,false,true,false,EA Play,-/9NXLNL5JXBZJ,
Need for Speed™ Heat,BRZZLBF5T245,true,false,true,EA Play,-/BRZZLBF5T245,
Need for Speed™ Heat Deluxe Edition,9NM857B8P3SC,false,true,false,EA Play,-/9NM857B8P3SC,
Need for Speed™ Hot Pursuit Remastered,9NMBJQ0265ZK,true,true,true,EA Play,-/9NMBJQ0265ZK,
Need for Speed™ Most Wanted,9N7H29G7G485,false,true,false,EA Play,-/9N7H29G7G485,
Need for Speed™ Payback,C355T88BBX1S,true,false,false,EA Play,-/C355T88BBX1S,
Need for Speed™ Payback - Deluxe Edition,9P00J6DXK9LX,false,true,false,EA Play,-/9P00J6DXK9LX,
Need for Speed™ Rivals: Complete Edition,9P1CWNG8F7B5,false,true,false,EA Play,-/9P1CWNG8F7B5,
Need for Speed™ Unbound,9PP837L3Q75D,true,true,true,EA Play,-/9PP837L3Q75D,
New MONOPOLY®,9P8H220G3S4P,true,false,true,Ubisoft+ Classics,-/9P8H220G3S4P,
NHL® 25 Xbox Series X|S,9PB3GGBSG27C,true,false,true,EA Play,-/9PB3GGBSG27C,
NHL® 26 Xbox Series X|S,9PC1KTWW5PB5,true,false,true,EA Play,-/9PC1KTWW5PB5,
NHL® 94 REWIND,9PDGC1Z6ZHTP,true,false,false,EA Play,-/9PDGC1Z6ZHTP,
NINJA GAIDEN 4 Standard Edition,9N7358JZPX1Z,true,true,true,Ultimate Exclusive,-/9N7358JZPX1Z,
Nova Roma (Game Preview),9NBNFBQ546DT,false,true,false,Ultimate Exclusive,-/9NBNFBQ546DT,
OddBallers™,9PMX3SK2RMG4,true,true,true,Ubisoft+ Classics,-/9PMX3SK2RMG4,
Outbound,9PFWZMT737GG,true,true,true,Ultimate Exclusive,-/9PFWZMT737GG,
Peggle,BSCCQL7DZ9KD,true,false,false,EA Play,-/BSCCQL7DZ9KD,
Peggle 2,BNCZHKWRZ7BR,true,false,true,EA Play,-/BNCZHKWRZ7BR,
Peggle®,9MVPD3Z5N4QL,false,true,false,EA Play,-/9MVPD3Z5N4QL,
Peggle® Nights,9P3SX4QXR5MD,false,true,false,EA Play,-/9P3SX4QXR5MD,
Planet of Lana II,9PL89B9HCZ9W,true,true,true,Ultimate Exclusive,-/9PL89B9HCZ9W,
Plants vs. Zombies,BR1D9CR82ZM8,true,false,false,EA Play,-/BR1D9CR82ZM8,
Plants vs. Zombies Garden Warfare,BTJ0T8C04ZBV,true,true,true,EA Play,-/BTJ0T8C04ZBV,
Plants vs. Zombies: Battle for Neighborville™,C4HZC7LJG6PX,true,false,true,EA Play,-/C4HZC7LJG6PX,
